NOC,Team,Archery,Athletics,Badminton,Baseball,Basketball,Beach Volleyball,Boxing,Canoeing,Cycling,Diving,Equestrianism,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Judo,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Shooting,Softball,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
ABW,Aruba,,9.0,,,,,2.0,,3.0,,,2.0,,,,,,5.0,,,,,,,9.0,4.0,,1.0,,,,,,3.0,
AFG,Afghanistan,,19.0,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,42.0
AGO,Angola,,29.0,,,71.0,2.0,7.0,6.0,,,,,,,,84.0,,14.0,,,2.0,,3.0,,43.0,,,,,,,,,,
ALB,Albania,,12.0,,,,,,,1.0,,,,,,,,,2.0,,,,,16.0,,11.0,,,,,,,,,17.0,4.0
AND,Andorra,,13.0,,,,,1.0,1.0,5.0,,,,,,,,,6.0,,,,,12.0,,10.0,,,,,,,,,,
ARE,United Arab Emirates,,23.0,,,,,,,16.0,,1.0,,18.0,,,,,5.0,,,,,16.0,,61.0,,,1.0,,,,,,2.0,
ARG,Argentina,2.0,114.0,,,60.0,10.0,70.0,49.0,133.0,9.0,107.0,127.0,126.0,2.0,64.0,44.0,274.0,65.0,8.0,,128.0,13.0,82.0,,190.0,4.0,14.0,7.0,69.0,,6.0,94.0,7.0,14.0,44.0
ARG,Argentina-1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
ARG,Argentina-2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
ARM,Armenia,,18.0,,,,,18.0,2.0,1.0,3.0,,,,,20.0,,,8.0,,,,,9.0,,8.0,,,1.0,3.0,,,,,36.0,47.0
ASM,American Samoa,1.0,11.0,,,,,5.0,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,7.0,2.0
ATG,Antigua and Barbuda,,96.0,,,,,2.0,3.0,17.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
AUS,Australia,73.0,756.0,45.0,68.0,250.0,6.0,98.0,229.0,365.0,129.0,221.0,97.0,150.0,4.0,450.0,30.0,363.0,87.0,46.0,7.0,437.0,25.0,224.0,60.0,1099.0,57.0,60.0,22.0,66.0,6.0,29.0,48.0,223.0,66.0,70.0
AUS,Australia-1,,,6.0,,,14.0,,,,,,,,,,,,,,,,,,,,,6.0,,10.0,,,,,,
AUS,Australia-2,,,6.0,,,14.0,,,,,,,,,,,,,,,,,,,,,6.0,,10.0,,,,,,
AUS,Australia-3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Greenoaks Dundee,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Quando Quando,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Relampago,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,4.0,158.0,9.0,,,8.0,17.0,77.0,117.0,45.0,72.0,109.0,,2.0,103.0,44.0,14.0,53.0,34.0,6.0,98.0,,131.0,,147.0,14.0,51.0,3.0,29.0,,13.0,,,31.0,45.0
AUT,Austria-1,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
AUT,Austria-2,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
AZE,Azerbaijan,1.0,21.0,,,,,37.0,7.0,6.0,2.0,2.0,4.0,,,18.0,,,29.0,,11.0,4.0,,14.0,,11.0,,,9.0,,,1.0,,,21.0,67.0
BDI,Burundi,,30.0,,,,,,,,,,,,,,,,2.0,,,,,,,7.0,,,,,,,,,,
BEL,Belgium,22.0,270.0,6.0,,,2.0,6.0,72.0,202.0,5.0,100.0,59.0,19.0,3.0,114.0,,144.0,55.0,1.0,4.0,60.0,,57.0,,207.0,5.0,14.0,4.0,30.0,,12.0,12.0,17.0,15.0,22.0
BEN,Benin,,42.0,,,,,13.0,,2.0,,,1.0,,,,,,3.0,,,,,,,7.0,,,2.0,1.0,,,,,,
BFA,Burkina Faso,,26.0,,,,,4.0,,,,,1.0,,,,,,6.0,,,,,,,7.0,,,,,,,,,,
BGD,Bangladesh,2.0,28.0,,,,,,,,,,,,1.0,3.0,,,,,,,,8.0,,13.0,,,,,,,,,,
