NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
OMN,0.05670541127683972,0.03561508084404607,,0.0823409613415545,,0.08652308730795003,,,,,0.2708158744199163,,,,,,,,,,,,,,,,,,,,,,,,
PLW,0.14244919526930253,0.03561508084404607,,,,,,,,,,,,,,,0.19965463553979126,,,,,,,,,,,,,,,,,,
SOM,0.03948758030979104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,0.03948758030979104,0.006517738901674907,,,0.008687871731303429,0.00746539383131937,,0.1603681668239946,,,0.06360365475107022,,0.060363579181054755,0.012429687318381934,0.022962827114153046,,,,,,,,,,,,,,0.002984075955526747,,,,,,
BDI,0.3940844325051241,0.007110153940071088,,,,,,,,,,,0.06129958302998303,,,,,,,,,,,,,,,,,,,,,,
LBY,0.14244919526930253,0.03561508084404607,,0.0823409613415545,,,,,,,,,0.21088584076590328,,,,0.19965463553979126,,,,,0.006647532165126085,,,,,,0.391344148728509,,,,,,,
CAF,0.03633815841976486,0.006517738901674907,,0.008499895226974186,,,,,0.06345359472548545,,0.0844726397351591,,0.0355752474658708,0.00595036361738616,,,,,0.050456814712328366,,,,,,,,,0.186807956061766,,,,,,,
MRT,0.033409355281025906,,,,,,,,0.06399020038810568,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,0.11622083663647506,0.09055424064519285,,,,0.19319565624820695,,,,,,,,,,,,,0.29250125319046155,,,,,,,,,,,,,,,,
STP,0.10405846361217874,,,,,,,0.31724265983844896,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,0.09867638140671355,0.009457723532218907,,0.04685877078408468,,,,,,,,,0.18008794838265302,,,,0.12503518535173117,,,,,,,,,,,,,,,,,,
GNQ,0.04380052089718524,0.006517738901674907,,,,,,,,,,,0.023878309331302364,,,,,,,,,,,,,,,,,,,,,,
BRN,0.12460654313278922,0.0515611215144872,,,,0.20050505562124685,,,,,,,,,,,,,,,,,0.016014713397439886,,,,,,,,,,,,
TKM,0.09867638140671355,0.021561318613283965,,,,0.21632963891957377,,,0.06399020038810568,,0.24728724554793555,,0.11501367460515645,,,,0.19596741629429962,,,,,0.007064757921534146,,,,,,,,,,,,,
ARE,0.08645760711443812,0.028974576578330236,,0.08924894505053169,,0.48852163068751164,,,,0.09160265040572126,,0.12462561629591097,0.43703997622966423,,,,0.1148241830674951,,,,,,,,,,,0.25540955963360595,,,,,,,
YEM,0.03708404714123711,0.019259606744056947,0.018418077424544096,,,,,,0.02400651466213577,,,,0.0025482300398102504,,,,,,,,,,,,,,,0.15769982010681002,,,,,,,
CPV,0.12396866215511115,,,,,,,,,,0.277854015333338,,0.18784383925682946,,,,,,,,,,,,,,0.07215702337429811,0.23299511824299043,,,,,,,
MDV,0.040411509383181395,0.0062236863481478525,,,,,,,,,,,,,,,,,,,,,0.05520674233102385,,,,,,,,,,,,
ARM,0.1024240539149698,0.05105003618783047,0.021849943195862052,0.13749246687858455,,0.19287298913364123,,0.31724265983844896,0.5323061530534073,,0.277854015333338,,0.18784383925682946,,,,0.5993015388823438,,,0.043898376834079406,0.04213760236683684,,,,,,,0.23299511824299043,,,,,,,
ALB,0.13566445979295919,0.057231752426144006,,0.041048532386729446,,0.0952397061535712,,,0.15714243809678435,,,,0.18097787334664908,,,,0.10576560290821911,,,,,,,,,,,,,,,,,,
