NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
OMN,0.05664091163093085,0.036551629974873635,,0.0823355470359203,,0.08590679552328975,,,,,0.292691028824794,,,,,,,,,,,,,,,,,,,,,,,,
PLW,0.14154560069919608,0.036551629974873635,,,,,,,,,,,,,,,0.20338185845294757,,,,,,,,,,,,,,,,,,
SOM,0.038950386924659484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,0.038950386924659484,0.006462043535461509,,,0.00868525583820137,0.0073209095608204235,,0.15768128123291542,,,0.06304547805499744,,0.060249707496080024,0.012766978386990858,0.02304067269108637,,,,,,,,,,,,,,0.0024961169369426476,,,,,,
BDI,0.3943422675308378,0.007021687455826853,,,,,,,,,,,0.06114668448639546,,,,,,,,,,,,,,,,,,,,,,
LBY,0.14154560069919608,0.036551629974873635,,0.0823355470359203,,,,,,,,,0.2121798693040515,,,,0.20338185845294757,,,,,0.0072685319465871645,,,,,,0.3940523922030433,,,,,,,
CAF,0.03553869183781243,0.006462043535461509,,0.008496320078070269,,,,,0.06358180234046154,,0.08269687293811886,,0.035446037861044326,0.005962306842656231,,,,,0.04713857674601118,,,,,,,,,0.1845908226813102,,,,,,,
MRT,0.03300173151452647,,,,,,,,0.06396799678731176,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,0.12438813005431226,0.08852501113710456,,,,0.19554230007565865,,,,,,,,,,,,,0.21895670883313773,,,,,,,,,,,,,,,,
STP,0.10240937884972195,,,,,,,0.3212009940907808,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,0.09735604104974803,0.009820131789800398,,0.04657246169779505,,,,,,,,,0.181608804010663,,,,0.12807898703694146,,,,,,,,,,,,,,,,,,
GNQ,0.04368607103063178,0.006462043535461509,,,,,,,,,,,0.023875306246512386,,,,,,,,,,,,,,,,,,,,,,
BRN,0.12715517350354186,0.05273009092931604,,,,0.2027623315429821,,,,,,,,,,,,,,,,,0.01601937148162578,,,,,,,,,,,,
TKM,0.09735604104974803,0.022176795385657467,,,,0.21617049048994927,,,0.06396799678731176,,0.24560435356965157,,0.11403648406666231,,,,0.19701595185984422,,,,,0.006626747449559909,,,,,,,,,,,,,
ARE,0.08522532784687417,0.028986958881404422,,0.09030483592036995,,0.48806693404877105,,,,0.09161712649271772,,0.12112202190880272,0.4375180541459991,,,,0.11789556732413431,,,,,,,,,,,0.255787861470737,,,,,,,
YEM,0.037042039963231355,0.01898236549571326,0.021171047436296064,,,,,,0.02391894802655922,,,,0.002527133940892709,,,,,,,,,,,,,,,0.15800280444806145,,,,,,,
CPV,0.12136703721519969,,,,,,,,,,0.292691028824794,,0.1890465655008955,,,,,,,,,,,,,,0.07588024452552737,0.23510899147822573,,,,,,,
MDV,0.039678874523226444,0.006289438635137873,,,,,,,,,,,,,,,,,,,,,0.05520481430994175,,,,,,,,,,,,
ARM,0.10242772045625778,0.05279139709902824,0.02891933930442457,0.1400408229370985,,0.19472198300122504,,0.3212009940907808,0.5323075118409945,,0.292691028824794,,0.1890465655008955,,,,0.5992973880007466,,,0.044011253454934986,0.0429639442949455,,,,,,,0.23510899147822573,,,,,,,
ALB,0.13067189239960345,0.05890699391353686,,0.041007603539341964,,0.09399925624701637,,,0.15741958743373563,,,,0.18254630433121244,,,,0.106556001682049,,,,,,,,,,,,,,,,,,
HKG,0.09359480446419817,0.01430956274817195,,0.06354128091226902,0.21603153480732876,0.07370898359314319,0.025443446718734337,0.05059902445410226,,,0.27779368812518207,,0.11545537334047176,,,,,,0.14972711671669237,0.03381928435019355,,0.10743471404945369,0.18980168542326034,,,,,,,,,,,,0.08719009671114775
EGY,0.039678874523226444,0.006289438635137873,0.024250939536627547,0.041007603539341964,0.0038834866437295465,0.02808158858878704,0.051179591703323125,0.1993465364650669,0.1812982841383117,0.009922267402324473,0.2680002442580597,0.08399414150826603,0.16368615513481796,0.00069911250998667,0.004615790843569173,0.027734181275547023,0.08118912617854246,0.039700689515214334,0.04713857674601118,0.044011253454934986,,0.0060793007758821885,0.06364383232543028,0.038088746887191535,0.01274244466070292,,0.07588024452552737,0.24846707210627514,0.0024961169369426476,,,,,,0.00025680045520523316
BOL,0.05646314898101298,0.036551629974873635,0.024596414099248665,0.03160224255919848,,0.0028058004487481357,0.02343673581201805,0.1993465364650669,0.050672140571505375,,0.13534339507450133,0.04009281548808903,0.11910960395423702,,,,0.04968350324817747,,,0.03839740822160634,0.030996326752283032,,,,,,,,,,,,,,
DJI,0.3455409331387192,0.02975244239594283,,,,,,,,,,,0.07325489091922957,,,,,,,,,0.007922216400009867,,,,,,,,,,,,,
LUX,0.04692696048551484,0.006104004667904163,0.017979428892830118,0.03417308052950614,,0.08968409272110364,0.04326713341964967,0.24287266889327397,0.19097845633363467,,0.2739045974932137,,0.16693769763441219,,,,0.20338185845294757,,0.05813585603887096,,0.24060678193542315,0.0027407774977874586,,,,,,,,0.46856324995589527,,,,,
LCA,0.016298299070555508,0.02337962468866477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,0.013500317374756784,0.00488674848300563,,,,0.003970913365221191,,,,,0.04569111689880614,,,,,,0.018070835272795786,,,,,,,,,,,0.23510899147822573,,,,,,,
WSM,0.016298299070555508,0.0024462566824477185,,0.002306868411788751,,,,0.06343834122457542,0.02391894802655922,,0.09056453816850361,,0.004348928866562971,,,,0.018070835272795786,,0.027845519023936987,,,,,,,,,0.23510899147822573,,,,,,,
AZE,0.09056697833093359,0.022176795385657467,0.023318398462152137,0.04657246169779505,0.09294667436125416,0.7868114737643933,0.012460560957831589,0.5828063188601009,0.7648645912164288,,0.6206942046702161,0.11159693884093254,0.4689039489057126,,,,0.19985088716747398,,0.019608220875819427,0.044011253454934986,,,,,,,0.07588024452552737,0.514180259395012,,0.03767456848293651,,,,,
LBN,0.1195382915077064,0.052281339456382483,,0.1031048906757989,0.22501949912447708,0.22324698371265456,0.12348862435849596,0.3625018701657695,0.16359672226452945,,0.27779368812518207,,0.17287538016256532,,,,0.20338185845294757,,,,,0.0027407774977874586,,,,,,0.2746184621854119,,,,,,,
JOR,0.082590033963725,0.04681938267483623,,,,0.12359305054938899,0.016549276627398617,,0.19097845633363467,,0.2739045974932137,0.16882426765919814,0.1745895567079921,,,,,,0.05813585603887096,,,0.002137771903880126,,,,,,0.41145771971053174,,0.11904743948419591,,,,,
MWI,0.013500317374756784,0.0025136575919653048,,0.03222570333246148,,,,,,,0.10834472235828045,,,,,,,,0.006495656250882018,,,,,,,,,,,,,,,,
KIR,0.03300173151452647,,,,,,,,,,,,,,,,0.08118912617854246,,,,,,,,,,,,,,,,,,
BWA,0.023153064838691825,0.05279139709902824,,,,,,,,,0.1622909707675234,,0.1890465655008955,,,,,,,,,,,,,,,,,,,,,,
MMR,0.037042039963231355,0.01898236549571326,,,0.049563890133440265,0.0337717404785351,,0.02277141532173678,,,,,0.08019709786213347,,,,0.02996386922237377,,0.025419185714957628,,,,,,,,,,,,,,,,
MUS,0.03841166000802628,0.006289438635137873,,0.041007603539341964,,,,,0.15741958743373563,,0.24455769056476445,,0.11127767384710899,,,,0.2491578798056856,,0.04713857674601118,,,0.0060793007758821885,0.06364383232543028,,,,,,0.0024961169369426476,0.03767456848293651,,,,,
MOZ,0.24071652235604452,0.024009913670808937,,,,,,0.02277141532173678,,,0.11575102965637574,,0.024951088600525074,,,,,,,,,,,,,,,,,,,,,,
GMB,0.05827225105250493,0.043106512042870096,,,,,,,0.06358180234046154,,0.24560435356965157,,0.11910960395423702,,,,,,,,,,,,,,,,,,,,,,
KHM,0.013500317374756784,0.002746553490017296,,0.03222570333246148,,,,,0.023768402323328705,,0.18031539391726345,,0.004348928866562971,,,,,,,,,,,,,,,0.23510899147822573,,,,,,,
GNB,0.038950386924659484,,,,,,,,0.06358180234046154,,,,0.11403648406666231,,,,,,,,,,,,,,,,,,,,,,
