NOC,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Year,Value,Flag Codes
AUS,POP,TOT,AGRWTH,A,1951,2.971132332,
AUS,POP,TOT,AGRWTH,A,1952,2.550553926,
AUS,POP,TOT,AGRWTH,A,1953,2.070283101,
AUS,POP,TOT,AGRWTH,A,1954,1.942077978,
AUS,POP,TOT,AGRWTH,A,1955,2.37244756,
AUS,POP,TOT,AGRWTH,A,1956,2.454427862,
AUS,POP,TOT,AGRWTH,A,1957,2.277863243,
AUS,POP,TOT,AGRWTH,A,1958,2.097466858,
AUS,POP,TOT,AGRWTH,A,1959,2.174266439,
AUS,POP,TOT,AGRWTH,A,1960,2.173740106,
AUS,POP,TOT,AGRWTH,A,1961,2.269586375,
AUS,POP,TOT,AGRWTH,A,1962,1.829999429,
AUS,POP,TOT,AGRWTH,A,1963,1.928881828,
AUS,POP,TOT,AGRWTH,A,1964,1.968478669,
AUS,POP,TOT,AGRWTH,A,1965,1.971838584,
AUS,POP,TOT,AGRWTH,A,1966,2.280224674,
AUS,POP,TOT,AGRWTH,A,1967,1.720591701,
AUS,POP,TOT,AGRWTH,A,1968,1.776045552,
AUS,POP,TOT,AGRWTH,A,1969,2.118300706,
AUS,POP,TOT,AGRWTH,A,1970,1.99245471,
AUS,POP,TOT,AGRWTH,A,1971,4.476696061,
AUS,POP,TOT,AGRWTH,A,1972,1.809093181,
AUS,POP,TOT,AGRWTH,A,1973,1.509914863,
AUS,POP,TOT,AGRWTH,A,1974,1.614516543,
AUS,POP,TOT,AGRWTH,A,1975,1.241924709,
AUS,POP,TOT,AGRWTH,A,1976,1.008335496,
AUS,POP,TOT,AGRWTH,A,1977,1.134112867,
AUS,POP,TOT,AGRWTH,A,1978,1.176847845,
AUS,POP,TOT,AGRWTH,A,1979,1.089708345,
AUS,POP,TOT,AGRWTH,A,1980,1.237464546,
AUS,POP,TOT,AGRWTH,A,1981,1.550857291,
AUS,POP,TOT,AGRWTH,A,1982,1.748860504,
AUS,POP,TOT,AGRWTH,A,1983,1.377908302,
AUS,POP,TOT,AGRWTH,A,1984,1.207778206,
AUS,POP,TOT,AGRWTH,A,1985,1.341008772,
AUS,POP,TOT,AGRWTH,A,1986,1.457014531,
AUS,POP,TOT,AGRWTH,A,1987,1.532767108,
AUS,POP,TOT,AGRWTH,A,1988,1.649606976,
AUS,POP,TOT,AGRWTH,A,1989,1.707290104,
AUS,POP,TOT,AGRWTH,A,1990,1.491053867,
AUS,POP,TOT,AGRWTH,A,1991,1.282779713,
AUS,POP,TOT,AGRWTH,A,1992,1.125888652,
AUS,POP,TOT,AGRWTH,A,1993,0.893507988,
AUS,POP,TOT,AGRWTH,A,1994,0.967745155,
AUS,POP,TOT,AGRWTH,A,1995,1.119959329,
AUS,POP,TOT,AGRWTH,A,1996,1.221252103,
AUS,POP,TOT,AGRWTH,A,1997,1.087915143,
AUS,POP,TOT,AGRWTH,A,1998,1.001718663,
AUS,POP,TOT,AGRWTH,A,1999,1.099981599,
AUS,POP,TOT,AGRWTH,A,2000,1.151046998,
AUS,POP,TOT,AGRWTH,A,2001,1.292246354,
AUS,POP,TOT,AGRWTH,A,2002,1.144033311,
AUS,POP,TOT,AGRWTH,A,2003,1.156832884,
AUS,POP,TOT,AGRWTH,A,2004,1.074934471,
AUS,POP,TOT,AGRWTH,A,2005,1.224729869,
AUS,POP,TOT,AGRWTH,A,2006,1.358597013,
AUS,POP,TOT,AGRWTH,A,2007,1.841751632,
AUS,POP,TOT,AGRWTH,A,2008,2.024124502,
AUS,POP,TOT,AGRWTH,A,2009,2.082214958,
AUS,POP,TOT,AGRWTH,A,2010,1.567870369,
AUS,POP,TOT,AGRWTH,A,2011,1.399226117,
AUS,POP,TOT,AGRWTH,A,2012,1.761148511,
AUS,POP,TOT,AGRWTH,A,2013,1.736048596,
AUS,POP,TOT,AGRWTH,A,2014,1.502745855,
AUS,POP,TOT,AGRWTH,A,2015,1.44962324,
AUS,POP,TOT,AGRWTH,A,2016,1.574202547,
